ACCOUNT_NO.,ACCOUNT_NAME,SCHEME_TYPE,CLS_BALANCE,AMOUNT,INT_RATE,ACCT_OPEN_DATE  OPEN_EFFECTIVE_DATE,MATURITY_DATE,CRNCY,USD_AMOUNT
LA500300013939,UNITED BANK FOR AFRICA PLC,LAA,"-10,258,875.00",10258875.0,4.77,3/21/2022,2022-07-15,USD,10258875.0
LA500300013940,UNITED BANK FOR AFRICA PLC,LAA,"-116,229.86",116229.86,4.77,3/21/2022,2022-07-15,USD,116229.86
LA500300013941,UNITED BANK FOR AFRICA PLC,LAA,"-128,700.00",128700.0,4.77,3/21/2022,2022-07-15,USD,128700.0
LA500300013942,UNITED BANK FOR AFRICA PLC,LAA,"-83,695.00",83695.0,4.77,3/21/2022,2022-07-15,USD,83695.0
LA500300013943,FIDELITY BANK PLC TRADING ACCO,LAA,"-11,750,000.00",11750000.0,5.84,3/22/2022,2022-09-16,USD,11750000.0
LA500300013944,FIRST CITY MONUMENT BANK PLC,LAA,"-238,000.00",238000.0,6.03,3/22/2022,2022-09-06,USD,238000.0
LA500300013945,FIRST CITY MONUMENT BANK PLC,LAA,"-1,675,431.99",1675431.99,6.03,3/22/2022,2022-09-06,USD,1675431.99
LA500300013946,FIRST CITY MONUMENT BANK PLC,LAA,"-325,000.00",325000.0,6.03,3/22/2022,2022-09-09,USD,325000.0
LA500300013949,GLOBUS BANK LIMITED WIRE CLEAR,LAA,"-793,702.80",793702.8,9.67,3/22/2022,2022-09-19,USD,793702.8
LA500300013950,UNITED BANK FOR AFRICA PLC,LAA,"-4,263,806.20",4263806.2,4.83,3/23/2022,2022-07-20,USD,4263806.2
LA500300013951,UNITED BANK FOR AFRICA PLC,LAA,"-38,204.64",38204.64,4.83,3/23/2022,2022-07-19,USD,38204.64
LA500300013952,CORONATION MERCHANT BANK,LAA,"-10,054,592.84",10054592.84,5.5,3/23/2022,2022-09-19,USD,10054592.84
LA500300013953,STERLING BANK PLC,LAA,"-213,043.62",213043.62,7.13,3/24/2022,2022-09-20,USD,213043.62
LA500300013954,STERLING BANK PLC,LAA,"-11,345.44",11345.44,7.13,3/24/2022,2022-09-20,USD,11345.44
LA500300013955,GLOBUS BANK LIMITED WIRE CLEAR,LAA,"-214,720.00",214720.0,8.78,3/24/2022,2022-09-20,USD,214720.0
LA500300013956,UNITED BANK FOR AFRICA PLC,LAA,"-3,463.11",3463.11,4.88,3/24/2022,2022-07-19,USD,3463.11
LA500300013957,FIRST CITY MONUMENT BANK PLC,LAA,"-278,757.00",278757.0,6.13,3/25/2022,2022-09-20,USD,278757.0
LA500300013958,FIRST CITY MONUMENT BANK PLC,LAA,"-53,441.09",53441.09,6.13,3/25/2022,2022-09-20,USD,53441.09
LA500300013959,FIRST CITY MONUMENT BANK PLC,LAA,"-2,849.25",2849.25,6.13,3/25/2022,2022-09-20,USD,2849.25
LA500300013960,UNION BANK,LAA,"-81,180.00",81180.0,6.63,3/25/2022,2022-07-22,USD,81180.0
LA500300013961,UNITED BANK FOR AFRICA PLC,LAA,"-25,491.86",25491.86,4.88,3/25/2022,2022-07-19,USD,25491.86
LA500300013962,GLOBUS BANK LIMITED WIRE CLEAR,LAA,"-85,116.06",85116.06,8.84,3/25/2022,2022-09-21,USD,85116.06
LA500300013963,UNITED BANK FOR AFRICA PLC,LAA,"-115,216.22",115216.22,5.13,3/25/2022,2022-07-21,USD,115216.22
LA500300013964,FBNQUEST MERCHANT BANK LIMITED,LAA,"-597,813.68",597813.68,8.83,3/28/2022,2022-09-23,USD,597813.68
LA500300013966,GLOBUS BANK LIMITED WIRE CLEAR,LAA,"-672,000.00",672000.0,8.82,3/28/2022,2022-09-16,USD,672000.0
LA500300013968,UNITED BANK FOR AFRICA PLC,LAA,"-173,490.94",173490.94,4.95,3/29/2022,2022-07-20,USD,173490.94
LA500300013969,UNITED BANK FOR AFRICA PLC,LAA,"-2,478,250.00",2478250.0,4.95,3/29/2022,2022-07-22,USD,2478250.0
LA500300013970,UNITED BANK FOR AFRICA PLC,LAA,"-147,299.14",147299.14,4.95,3/29/2022,2022-07-21,USD,147299.14
LA500300013972,FIRST CITY MONUMENT BANK PLC,LAA,"-291,339.64",291339.64,6.2,3/29/2022,2022-09-20,USD,291339.64
LA500300013973,FIRST CITY MONUMENT BANK PLC,LAA,"-158,008.00",158008.0,6.2,3/29/2022,2022-09-20,USD,158008.0
LA500300013974,FIRST CITY MONUMENT BANK PLC,LAA,"-500,000.00",500000.0,6.2,3/29/2022,2022-09-20,USD,500000.0
